ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अक्षरसम्पद्	akṣarasampad	f.	fitness or completeness of the number of syllables
अक्षरसंस्थान	akṣarasaṃsthāna	n.	handwriting
अक्षरसंस्थान	akṣarasaṃsthāna	n.	scripture
अक्षरसंस्थान	akṣarasaṃsthāna	n.	writing
अक्षरा	akṣarā	f.	speech
अक्षरा	akṣarā	f.	word
अक्षराणि	akṣarāṇi	n. pl.	letters
अक्षराणि	akṣarāṇi	n. pl.	spelling
अक्षरावलि	akṣarāvali	f.	string  [ computer ]
अक्षरेखा	akṣarekhā	f.	axis
अक्षवती	akṣavatī	f.	game of dice
अक्षवत्	akṣavat	adj.	having dice
अक्षवाम	akṣavāma	m.	unfair gambler
अक्षविद्	akṣavid	adj.	versed in law
अक्षवृत्त	akṣavṛtta	adj.	anything that happens in gambling
अक्षशब्द	akṣaśabda	m.	creaking of an axle
अक्षशिक्षा	akṣaśikṣā	f.	art of gambling
अक्षशील	akṣaśīla	adj.	addicted to gambling
अक्षसङ्गम्	akṣasaṅgam	ind.	so that the axle is caught or hooked by contact with some obstruction
अक्षसूक्त	akṣasūkta	n.	dice-hymn
अक्षसूत्र	akṣasūtra	n.	string or rosary of rudrākṣā (Eleocarpus - Bot. ) seeds
अक्षसूत्रवलयिन्	akṣasūtravalayin	adj.	having a rosary for a bracelet
अक्षस्तुष	akṣastuṣa	m.	bastard ṃyrobalan  [ ṭerminalia bellirica - Bot. ]
