ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अक्षहृदय	akṣahṛdaya	n.	innermost nature of dice
अक्षाग्र	akṣāgra	n.	axle
अक्षाग्र	akṣāgra	n.	end of an axle
अक्षानह्	akṣānah	adj.	tied to the axle of a car
अक्षान्त	akṣānta	adj.	impatient
अक्षान्ति	akṣānti	f.	impatience
अक्षान्ति	akṣānti	f.	intolerance
अक्षान्ति	akṣānti	f.	jealousy
अक्षार	akṣāra	adj.	free from alkali or factitious salt
अक्षारमद्यमांसाद	akṣāramadyamāṃsāda	adj.	not eating acrid substances nor  spirituous liquors nor eating meat
अक्षारलवण	akṣāralavaṇa	adj.	not composed of artificial salt
अक्षारलवण	akṣāralavaṇa	n.	not factitious salt
अक्षावपन	akṣāvapana	n.	dice-board
अक्षावली	akṣāvalī	f.	rosary
अक्षांस	akṣāṃsa	m.	degree of latitude
अक्षिक	akṣika	m.	collar-bone
अक्षिक	akṣika	m.	tree īndian rosewood [ ḍalbergia Oujeinensis - Bot. ]
अक्षिगत	akṣigata	adj.	hated
अक्षिगत	akṣigata	adj.	presented to the eye
अक्षिगत	akṣigata	adj.	seen
अक्षिगत	akṣigata	adj.	visible
अक्षिगोल	akṣigola	m.	eyeball
अक्षिगोलक	akṣigolaka	m.	eyeball
अक्षिणी	akṣiṇī	f.	one of the eight conditions or privileges attached to landed property
अक्षित	akṣita	adj.	marked
अक्षित	akṣita	adj.	undecayed
अक्षित	akṣita	adj.	undecaying
अक्षित	akṣita	adj.	uninjured
अक्षित	akṣita	n.	number 100000 millions
अक्षित	akṣita	n.	water
अक्षितावसु	akṣitāvasu	m.	possessed of undecaying wealth
अक्षिति	akṣiti	adj.	imperishable
अक्षिति	akṣiti	f.	imperishableness
अक्षितोति	akṣitoti	m.	granting permanent help
अक्षित्	akṣit	adj.	imperishable
अक्षिनिमेष	akṣinimeṣa	m.	moment
अक्षिनिमेष	akṣinimeṣa	m.	twinkling of an eye
अक्षिपत्	akṣipat	ind.	a little
अक्षिपत्	akṣipat	ind.	as much as could fall into the eyes
अक्षिपाक	akṣipāka	m.	inflammation of the eyes
अक्षिपुट	akṣipuṭa	m.	eyelid
अक्षिपुट	akṣipuṭa	m.	eye lid
अक्षिप्र	akṣipra	adj.	leisurely
अक्षिबन्ध	akṣibandha	m.	binding the eyes
अक्षिभु	akṣibhu	adj.	manifest
अक्षिभु	akṣibhu	adj.	perceptible
अक्षिभु	akṣibhu	adj.	visible
अक्षिभू	akṣibhū	m.	eyewitness
अक्षिभेषज	akṣibheṣaja	m.	lotus bark tree  [ ṣymplocos racemosa - Bot. ]
अक्षिभेषज	akṣibheṣaja	m.	ṛed ḷodh  [ ṣymplocos racemosa - Bot. ]
अक्षिभेषज	akṣibheṣaja	n.	lotion or wash for eyes
अक्षिभेषज	akṣibheṣaja	n.	medicament for the eyes
अक्षिभ्रुव	akṣibhruva	n.	eyes and eyebrows together
अक्षियत्	akṣiyat	adj.	destitute of a dwelling
अक्षियत्	akṣiyat	adj.	not inhabiting
अक्षियत्	akṣiyat	adj.	unsettled
अक्षिलोमन्	akṣiloman	n.	eyelash
अक्षिविकूणित	akṣivikūṇita	n.	glance with the eye-lids partially closed
अक्षिष्यति { अक्ष् }	akṣiṣyati  { akṣ }	verb	will penetrate
अक्षिष्यति { अक्ष् }	akṣiṣyati  { akṣ }	verb	will pervade
अक्षिसंस्कार	akṣisaṃskāra	m.	lotion or wash for eyes
अक्षिसंस्कार	akṣisaṃskāra	m.	painting the eyes
अक्षीण	akṣīṇa	adj.	not diminishing in weight
अक्षीण	akṣīṇa	adj.	not perishing or failing
अक्षीब	akṣība	adj.	not intoxicated
अक्षीब	akṣība	adj.	sober
अक्षीब	akṣība	m.	drumstick tree  [ ṅuilandina or ḥyperanthera ṃoringa - Bot. ]
अक्षीब	akṣība	n.	sea salt
अक्षीयमाण	akṣīyamāṇa	adj.	imperishable
अक्षीयमाण	akṣīyamāṇa	adj.	inexhaustible
अक्षुण्ण	akṣuṇṇa	adj.	inexperienced
अक्षुण्ण	akṣuṇṇa	adj.	inexpert
अक्षुण्ण	akṣuṇṇa	adj.	new
अक्षुण्ण	akṣuṇṇa	adj.	not trite
अक्षुण्ण	akṣuṇṇa	adj.	permanent
अक्षुण्ण	akṣuṇṇa	adj.	unbroken
अक्षुण्ण	akṣuṇṇa	adj.	unconquered
अक्षुण्ण	akṣuṇṇa	adj.	uncurtailed
अक्षुध्	akṣudh	f.	satiety
अक्षुध्य	akṣudhya	adj.	not liable to hunger
अक्षेत्र	akṣetra	adj.	destitute of fields
अक्षेत्र	akṣetra	adj.	uncultivated
अक्षेत्र	akṣetra	n.	bad field
अक्षेत्र	akṣetra	n.	bad geometrical figure
अक्षेत्रिन्	akṣetrin	adj.	having no fields
अक्षोट	akṣoṭa	n.	tree bearing an oily nut
अक्षोट	akṣoṭa	n.	walnut
अक्षोभ	akṣobha	adj.	unagitated
अक्षोभ	akṣobha	adj.	unmoved
अक्षोभ	akṣobha	m.	freedom from agitation
अक्षोभ	akṣobha	m.	imperturbability
अक्षोभ	akṣobha	m.	post to which an elephant is tied
अक्षोभ	akṣobha	m.	tranquility  [ absence of agitation ]
अक्षोभ्य	akṣobhya	adj.	immovable
अक्षोभ्य	akṣobhya	adj.	imperturbable
अक्षौहिणी	akṣauhiṇī	f.	army consisting of ten anīkinīs or 21870 elephants, 21870 chariots, 65610 horse and 109350 foot soldiers
अक्षौहिणी	akṣauhiṇī	f.	army corps
अक्ष्णया	akṣṇayā	ind.	diagonally
अक्ष्णया	akṣṇayā	ind.	transversely
अक्ष्णया	akṣṇayā	ind.	wrongly
अक्ष्णयाकृत	akṣṇayākṛta	adj.	done wrongly
अक्ष्णयादेश	akṣṇayādeśa	m.	intermediate region
अक्ष्णयापच्छेदन	akṣṇayāpacchedana	n.	transverse division
अक्ष्णयारज्जु	akṣṇayārajju	f.	diagonal  [ geom. ]
अक्ष्णयारज्जु	akṣṇayārajju	f.	diagonal line
अक्ष्णयावन्	akṣṇayāvan	adj.	going across
अक्ष्णोति	akṣṇoti	adj.	accumulate
अक्ष्णोति	akṣṇoti	verb	embrace
अक्ष्णोति	akṣṇoti	verb	pass through
अक्ष्णोति	akṣṇoti	verb	penetrate
अक्ष्णोति	akṣṇoti	verb	pervade
अक्ष्णोति	akṣṇoti	verb	reach
अखट्टि	akhaṭṭi	m.	childish whim
अखण्ड	akhaṇḍa	adj.	entire
अखण्ड	akhaṇḍa	adj.	nonstop
अखण्ड	akhaṇḍa	adj.	not broken
अखण्ड	akhaṇḍa	adj.	not fragmentary
अखण्ड	akhaṇḍa	adj.	undivided  [ unbroken ]
अखण्ड	akhaṇḍa	adj.	whole
अखण्ड	akhaṇḍa	n.	time
अखण्ड	akhaṇḍa	n.	twelfth day of the first half of the month mārgaśīrṣa
अखण्डकल	akhaṇḍakala	adj.	full
अखण्डन	akhaṇḍana	m.	time
अखण्डन	akhaṇḍana	n.	admission
अखण्डन	akhaṇḍana	n.	leaving entire
अखण्डन	akhaṇḍana	n.	non-refutation
अखण्डन	akhaṇḍana	n.	not breaking
अखण्डित	akhaṇḍita	adj.	unbroken
अखण्डित	akhaṇḍita	adj.	undisturbed
अखण्डित	akhaṇḍita	adj.	undivided
अखण्डित	akhaṇḍita	adj.	unimpaired
अखण्डित	akhaṇḍita	adj.	unrefuted
अखण्डितर्तु	akhaṇḍitartu	adj.	bearing seasonable fruits
अखण्डोपधि	akhaṇḍopadhi	m.	quality not to be defined by words
अखथयत् { कथ् }	akhathayat  { kath }	imperfect	he told
अखनत्	akhanat	adj.	not digging
अखर्व	akharva	adj.	not shortened or mutilated
अखर्वन्	akharvan	adj.	unimpaired
अखर्वन्	akharvan	adj.	unmutilated
अखर्वा	akharvā	adj.	important
अखर्वा	akharvā	adj.	not mutilated
अखर्वा	akharvā	adj.	not shortened
अखादत् { खाद् }	akhādat  { khād }	īmperfect	ate  [ sg. ]
अखाद्य	akhādya	adj.	uneatable
अखिद्रयामन्	akhidrayāman	adj.	unwearied in course
अखिन्न	akhinna	adj.	unwearied
अखिल	akhila	adj.	complete
अखिल	akhila	adj.	entire
अखिल	akhila	adj.	whole
अखिल	akhila	adj.	without a gap
अखिल	akhila	n.	universe
अखिलात्मन्	akhilātman	m.	ḷord Brahma
अखिलात्मन्	akhilātman	m.	universal ṣpirit
अखिलीकृत्य	akhilīkṛtya	adj.	not having rendered powerless
अखिलीकृत्य	akhilīkṛtya	ind.	not having annihilated
अखिलेन	akhilena	ind.	completely
अखेटिक	akheṭika	m.	dog trained to chase
अखेदिन्	akhedin	adj.	not wearisome
अखेदिन्	akhedin	adj.	unwearied
अख्यात	akhyāta	adj.	unknown
अख्याति	akhyāti	f.	bad reputation
अख्याति	akhyāti	f.	bad repute
अख्याति	akhyāti	f.	disgrace
अख्याति	akhyāti	f.	ill repute
अख्याति	akhyāti	f.	infamy
अख्यातिकर	akhyātikara	adj.	causing infamy
अख्यातिकर	akhyātikara	adj.	disgraceful
अग	aga	adj.	unable to walk
अग	aga	m.	mountain
अग	aga	m.	number seven
अग	aga	m.	snake
अग	aga	m.	sun
अग	aga	m.	tree
अग	aga	m.	water-jar
अगज	agaja	n.	bitumen
अगणित	agaṇita	ppp.	countless
अगणित	agaṇita	ppp.	not counted
अगणितप्रतियात	agaṇitapratiyāta	adj.	returned without having been noticed
अगणितलज्ज	agaṇitalajja	adj.	disregarding shame
अगतासु	agatāsu	adj.	alive
अगतासु	agatāsu	adj.	not dead
अगति	agati	adj.	halting
अगति	agati	adj.	helpless
अगति	agati	adj.	wind
अगति	agati	adj.	without resource
अगति	agati	f.	not cohabiting with a woman
अगति	agati	f.	stoppage
अगति	agati	f.	unsuccessfulness
अगति	agati	f.	want of resort or resource
अगति	agati	verb	move tortuously
अगति { अग् }	agati  { ag }	verb	move tortuously
अगति { अग् }	agati  { ag }	verb	wind
अगतिक	agatika	adj.	dead-end
अगतिक	agatika	adj.	hopeless
अगतिक	agatika	adj.	not to be walked on
अगतिक	agatika	adj.	no-win
अगतिक	agatika	adj.	without resort
अगतिक	agatika	adj.	without resort or resources
अगतिकगति	agatikagati	f.	last resource
अगद	agada	adj.	free from affliction
अगद	agada	adj.	free from disease
अगद	agada	adj.	free from disease healthy
अगद	agada	adj.	healthy
अगद	agada	adj.	not speaking
अगद	agada	m.	antidote
अगद	agada	m.	drug
अगद	agada	m.	freedom from affliction
अगद	agada	m.	freedom from disease
अगद	agada	m.	health
अगद	agada	m.	magic jewel
अगद	agada	m.	medicine
अगद	agada	m.	science of antidotes
अगदङ्कार	agadaṅkāra	f.	cessation
अगदङ्कार	agadaṅkāra	interj.	oh!
अगदङ्कार	agadaṅkāra	m.	doctor
अगदङ्कार	agadaṅkāra	m.	physician
अगदवेद	agadaveda	m.	medical science
अगदसंस्कार	agadasaṃskāra	m.	pharmaceutics
अगदसंस्कार	agadasaṃskāra	m.	pharmacy
अगदंकार	agadaṃkāra	m.	apothecary
अगदंकार	agadaṃkāra	m.	chemist
अगदंकार	agadaṃkāra	m.	druggist
अगदंकार	agadaṃkāra	m.	pharmacist
अगद्यति	agadyati	verb	have good health
अगद्यति	agadyati	verb	heal
अगन्धि	agandhi	adj.	scentless
अगन्धि	agandhi	adj.	without smell
अगन्धिन्	agandhin	adj.	scentless
अगन्धिन्	agandhin	adj.	without smell
अगम	agama	adj.	impassable
अगम	agama	adj.	not going
अगम	agama	adj.	unable to go
अगम	agama	m.	mountain
अगम	agama	m.	tree
अगम्य	agamya	adj.	immune
अगम्य	agamya	adj.	inaccessible
अगम्य	agamya	adj.	not to be approached
अगम्य	agamya	adj.	or to be approached
अगम्य	agamya	adj.	unattainable
अगम्य	agamya	adj.	unfit to be walked in
अगम्य	agamya	adj.	unintelligible
अगम्य	agamya	adj.	unsuitable
अगम्यगा	agamyagā	f.	woman who has illicit intercourse with a man
अगम्यरूप	agamyarūpa	adj.	difficult to be traversed
अगम्यरूप	agamyarūpa	adj.	of unsurpassed form
अगम्या	agamyā	f.	woman with whom cohabitation is forbidden
अगम्यागमन	agamyāgamana	n.	illicit intercourse with a woman
अगम्यागमन	agamyāgamana	n.	incest
अगयति	agayati	verb caus.	cause to move tortuously
अगयति { अग् }	agayati  { ag }	verb caus.	make st. move tortuously  [ cart, horse, etc ]
अगर्तमित्	agartamit	adj.	not buried in a hole
अगर्तस्कन्द्य	agartaskandya	adj.	
अगर्तस्कन्द्य	agartaskandya	adj.	not offering hindrances
अगर्भ	agarbha	adj.	not rooted in another tree
अगर्हित	agarhita	adj.	blameless
अगर्हित	agarhita	adj.	not despised
अगर्हित	agarhita	adj.	unreproached
अगव्यूति	agavyūti	adj.	barren
अगव्यूति	agavyūti	adj.	without good pasturage for cattle
अगस्त-मास	agasta-māsa	m.	āugust
अगस्ति	agasti	m.	Canopus
अगस्ति	agasti	m.	hummingbird tree  [ ṣesbania grandiflora - Bot. ]
अगस्ति	agasti	m.	name of a ṛṣi
अगस्ति	agasti	m.	star Canopus
अगस्ती	agastī	f.	female descendant of agastya
अगस्त्यगीता	agastyagītā	f.	agastya's hymns
अगस्त्यगृहस्पतिक	agastyagṛhaspatika	adj.	having agastya for a householder
अगस्त्यचार	agastyacāra	m.	path of Canopus
अगस्त्यमार्ग	agastyamārga	m.	path of agastya
अगस्त्यमार्ग	agastyamārga	m.	ṣouth
अगस्त्यशास्त	agastyaśāsta	adj.	ruled by agastya
अगस्त्योदय	agastyodaya	m.	rising of Canopus
अगस्त्योदय	agastyodaya	m.	seventh day of the second half of bhādra
अगाध	agādha	adj.	deep
अगाध	agādha	adj.	not shallow
अगाध	agādha	adj.	profound
अगाध	agādha	adj.	unfathomable
अगाध	agādha	m., n.	abyss
अगाध	agādha	m., n.	chasm
अगाध	agādha	m., n.	hole
अगाधता	agādhatā	f.	profoundness
अगाधरुधिर	agādharudhira	n.	vast quantity of blood
अगाध-वासी जीव	agādha-vāsī jīva	m.	abyssal life  [ Bot. ]
अगाधित्व	agādhitva	n.	depth
अगार	agāra	n.	apartment
अगार	agāra	n.	house
अगार	agāra	n.	particular high number
अगारदाहिन्	agāradāhin	m.	house-burner
अगारदाहिन्	agāradāhin	m.	incendiary
अगारस्थूणाविरोहण	agārasthūṇāvirohaṇa	n.	sprouting of the post of a house
